fold,seed,block,cond_cross,test_IDSURVEY,N_test,N_train,zHD_min_test,zHD_max_test,t_anchor_train_gyr,H0_baseline,Om_baseline,alpha_baseline,H0_lta,Om_lta,alpha_lta,s_anchor,gC,gL,chi2_test_marg_baseline,chi2_test_marg_lta,dchi2_test_marg,chi2_test_margdiag_baseline,chi2_test_margdiag_lta,dchi2_test_margdiag,chi2_test_cond_baseline,chi2_test_cond_lta,dchi2_test_cond,cond_var_shrink,cond_logdet,cond_jitter_used,corr_max_abs_VT,corr_mean_abs_VT,corr_mean_abs_VV_offdiag,cond_gain_baseline,cond_gain_lta,cond_gain_diff,cond_cross_scale,cond_med_abs_corr_train_cross,cond_med_abs_corr_vt_cross,nll_test_marg_baseline,nll_test_marg_lta,dnll_test_marg,nll_test_cond_baseline,nll_test_cond_lta,dnll_test_cond
1,100,survey,full,18,1,353,0.02978,0.02978,0.6699934785575126,68.51650475566134,0.29966374970975224,0.9979050708573177,68.50974495027285,0.2997431385568621,0.9979126872210479,2.4563639805492508,1.0,1.0,0.6765508819434177,0.004148969429315379,0.6724019125141023,0.6765508819434177,0.004148969429315379,0.6724019125141023,0.00027258848559719916,0.03584274295286104,-0.03557015446726384,0.04720072263808328,-4.01702406748594,0.0,0.07966790109392202,0.042611765847929244,0.0,0.6762782934578205,-0.03169377352354566,0.7079720669813662,1.0,,,-3.2895041664010334,-3.922966285944279,0.6334621195432457,-4.0166152915820055,-3.978083133507625,-0.03853215807438026
2,100,survey,full,51,14,340,0.02369,0.07056,0.6740301659980736,68.51657838914075,0.2996615088416439,0.9979257680059624,68.50886148412742,0.2997405438858935,0.9979293023389544,2.467097498387832,1.0,1.0,22.702210499440564,15.179669989951503,7.522540509489062,25.273518532112522,14.218823181077058,11.054695351035464,12.065979164387546,12.144553139062792,-0.07857397467524585,0.10552019787772415,-54.9900036554251,0.0,0.4851635770343561,0.04471291696139747,0.03766221105004656,10.636231335053019,3.035116850888711,7.601114484164308,1.0,,,-30.806429000308587,-37.747299096444586,6.940870096135999,-42.92302465685923,-42.83072942915656,-0.09229522770267096
3,100,survey,full,66,2,352,0.03335,0.05316,0.6700024559817066,68.51559304675324,0.29965867419268916,0.9979443281787623,68.50815739410459,0.29973716419479474,0.9979442283121811,2.491679657878913,1.0,1.0,0.41304095742876984,0.17567713206775196,0.23736382536101788,0.4334967517946874,0.17980015777425798,0.25369659402042943,0.6289250681446743,1.041628551741825,-0.4127034835971506,0.06673393145127204,-8.17936549819866,0.0,0.11509317704974663,0.045559258395630554,0.03221940745191522,-0.21588411071590446,-0.865951419674073,0.6500673089581686,1.0,,,-7.6227294012276605,-7.812996663654612,0.1902672624269517,-7.550364592027339,-7.137456422208724,-0.412908169818615
4,100,survey,full,56,8,346,0.02343,0.02947,0.6740490889664853,68.51466079112387,0.29965681621926576,0.9979608306428484,68.50749655595284,0.2997350166489566,0.9979578895286774,2.294574607114208,1.0,1.0,24.86197661865814,16.006750651503232,8.855225967154908,28.872111058858863,17.771997038778643,11.10011402008022,15.26557934939239,13.604354948041616,1.6612244013507738,0.090269893588518,-25.702718379657703,0.0,0.607712973646879,0.0320249013065471,0.03289069548405502,9.59639726926575,2.4023957034616163,7.194001565804134,1.0,,,-0.4780267446353754,-9.811044346416471,9.333017601781096,-10.439928822759253,-12.137640915611676,1.6977120928524236
5,100,survey,full,15,20,334,0.03236,0.14778,0.6697494400015873,68.51394067656413,0.29965386256199084,0.9979755272000163,68.50687738310458,0.2997324743189418,0.997969774907425,2.462442046329784,1.0,1.0,12.44449145181288,6.682035547461024,5.762455904351856,22.896100778237077,9.54728082294411,13.348819955292967,4.743444079786093,4.200636593665709,0.5428074861203838,0.04999416767968967,-78.9850965603846,0.0,0.11869275320159176,0.05094922968670165,0.06483978294373474,7.701047372026787,2.481398953795315,5.219648418231472,1.0,,,-66.15285479992716,-71.6193468948584,5.46649209493124,-74.24155286100392,-74.72420527459383,0.4826524135899035
6,100,survey,full,62,4,350,0.02691,0.03707,0.6700249598516997,68.51330146655029,0.2996509794586372,0.9979889080319058,68.50653119762518,0.29972850510321,0.9979803731640502,2.4069879627565545,1.0,1.0,14.406447961800248,9.064920362240864,5.3415275995593845,15.185321322308814,9.020903414035983,6.164417908272831,9.352029332513368,8.797028768030591,0.5550005644827767,0.06834807446759106,-16.048133132553062,0.0,0.28340491316536964,0.049134984653755445,0.03703919804328741,5.0544186292868805,0.26789159421027264,4.786527035076608,1.0,,,-1.527562920658971,-6.786132552495319,5.258569631836348,-6.6962521564399715,-7.248962274750982,0.5527101183110101
7,100,survey,full,5,27,327,0.02343,0.08009,0.6700297212937076,68.51281912302277,0.29964735567968803,0.9980008642490525,68.50635624861135,0.2997229332376053,0.9979899550795298,2.4529510256335705,1.0,1.0,39.646349045630274,28.579225549647795,11.067123495982479,53.44698136059058,27.363497680661265,26.083483679929312,22.97517720433333,22.539036588030115,0.43614061630321643,0.1793476705332454,-118.48926442197768,0.0,0.570781400098029,0.05205884945672265,0.06325610488870351,16.671171841296943,6.04018896161768,10.630982879679262,1.0,,,-74.59171471482207,-84.72975871338103,10.138043998558956,-95.51185411696706,-95.91678262645989,0.40492850949283365
8,100,survey,full,150,72,282,0.02344,0.09293,0.6700339668272584,68.51238951616457,0.2996437501868671,0.9980119983909373,68.50570568408179,0.2997222997889188,0.9979987490322254,2.846506053525935,1.0,1.0,96.66472589197689,85.35687061549824,11.307855276478648,162.17318417881745,89.83628640608924,72.33689777272821,84.3748114249636,87.69281176646584,-3.318000341502241,0.05509817208913226,-283.652947946705,0.0,0.13082117902122473,0.04748400394154084,0.056020334500017525,12.28991446701329,-2.3359411509675994,14.62585561798089,1.0,,,-186.3338113814142,-196.04399123164364,9.710179850229451,-199.2745923080147,-196.23477040674248,-3.039821901272205
9,100,survey,full,63,10,344,0.0251,0.05886,0.6700370040039573,68.51208398929167,0.29963972997422456,0.9980217859652283,68.50578564433133,0.2997163101129945,0.9980067543832183,2.525197304891098,1.0,1.0,7.712433682156957,3.271263594472057,4.441170087684899,9.336417286733328,3.0659597159618546,6.270457570771473,4.334209968410671,5.064859413811775,-0.7306494454011041,0.13428166546224674,-40.0390275668002,0.0,0.7157557842130666,0.046834432289586024,0.041320114627504595,3.3782237137462854,-1.7935958193397181,5.171819533086003,1.0,,,-30.870355066611808,-34.90955689077914,4.0392018241673355,-35.70466771405496,-34.97874325273797,-0.7259244613169926
10,100,survey,full,1,37,317,0.06654,0.14898,0.6686815897004099,68.5116515370015,0.2996370601223881,0.9980317620681818,68.50387961267681,0.29972869073078157,0.9980162485099107,3.2616469831962975,1.0,1.0,35.69673452073481,23.615877981337672,12.080856539397136,74.39031064271681,36.2868663815081,38.103444261208715,20.47381611419695,29.76884766415304,-9.29503154995609,0.04604359072493902,-148.65570793949493,0.0,0.13119594301399823,0.04610972322067723,0.05580376181211507,15.222918406537858,-6.1529696828153675,21.375888089353225,1.0,,,-113.37159165572417,-124.72131994540425,11.349728289680073,-128.18410496367966,-120.59984839640794,-7.584256567271723
